payload_bytes,members,window,chunk,node_bytes,ledger_bytes,effects_bytes,total_bytes
8,3,256,64,23168,8536,22704,45872
1024,3,256,64,610416,268632,22704,633120
8,5,256,64,23384,8536,32272,55656
1024,5,256,64,610632,268632,32272,642904
8,3,256,256,24704,8536,76464,101168
1024,3,256,256,807024,268632,76464,883488
8,3,4096,256,357344,136216,137904,495248
1024,3,4096,256,8942544,4297752,137904,9080448
